27.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.178Z","level":"INFO","message":"GET /api/auth/me","context":{"requestId":"req_1777330189158_90731c1afa7f","method":"GET","path":"/api/auth/me","statusCode":304,"duration":20,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.187Z","level":"INFO","message":"GET /dashboard-DHt26bGF.js","context":{"requestId":"req_1777330189184_011f09221b29","method":"GET","path":"/dashboard-DHt26bGF.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.189Z","level":"INFO","message":"GET /trending-down-BNlAHmR8.js","context":{"requestId":"req_1777330189187_24ed937e082d","method":"GET","path":"/trending-down-BNlAHmR8.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.191Z","level":"INFO","message":"GET /star-DaUbpKoa.js","context":{"requestId":"req_1777330189188_66477b09b371","method":"GET","path":"/star-DaUbpKoa.js","statusCode":200,"duration":3,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.192Z","level":"INFO","message":"GET /target-CYcXZpOI.js","context":{"requestId":"req_1777330189190_d4e56dfb20cf","method":"GET","path":"/target-CYcXZpOI.js","statusCode":200,"duration":2,"ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.710Z","level":"INFO","message":"GET /api/notifications/unread-count","context":{"requestId":"req_1777330189680_9ecb3616fcb8","method":"GET","path":"/api/notifications/unread-count","statusCode":304,"duration":30,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.712Z","level":"INFO","message":"GET /api/transactions/deposit-config","context":{"requestId":"req_1777330189674_4dd460522971","method":"GET","path":"/api/transactions/deposit-config","statusCode":304,"duration":38,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.717Z","level":"INFO","message":"GET /api/support-chat/unread","context":{"requestId":"req_1777330189675_65ada85b1003","method":"GET","path":"/api/support-chat/unread","statusCode":304,"duration":42,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:49.719Z","level":"INFO","message":"GET /api/notifications/section-counts","context":{"requestId":"req_1777330189683_06c4d1d536eb","method":"GET","path":"/api/notifications/section-counts","statusCode":304,"duration":35,"userId":"8032321a-8346-4c64-9695-610bc24ac76d","ip":"41.233.127.104"}}
vex-app       | {"timestamp":"2026-04-27T22:49:50.568Z","level":"INFO","message":"10:49:50 PM [express] GET /api/challenges 404 in 6ms"}
vex-app       | {"timestamp":"2026-04-27T22:49:50.569Z","level":"WARN","message":"GET /api/challenges","context":{"requestId":"req_1777330190562_fb2024cc06df","method":"GET","path":"/api/challenges","statusCode":404,"duration":7,"ip":"41.233.127.104"}}
